DateTime,AddedIPs,RemovedIPs
1556900430,1,0
1556902376,1,0
1556904272,0,1
1556908142,1,0
1556910174,2,1
1556911982,1,0
1556921547,1,1
1556923512,1,1
1556925398,1,0
1556927311,1,1
1556934994,0,1
1556936929,1,0
1556938967,1,1
1556940798,2,3
1556942710,1,0
1556946541,1,0
1556948440,0,2
1556952300,1,0
1556954202,1,0
1556956145,1,0
1556958058,0,1
1556959975,1,0
1556963796,1,1
1556965997,1,1
1556967936,1,1
1556969797,1,0
1556971664,1,1
1556975573,1,0
1556977492,0,2
1556979408,1,1
1556981317,2,0
1556983252,1,0
1556987070,0,1
1556989000,1,1
1556992944,2,0
1556994777,0,1
1556996717,0,2
1556998610,2,1
1557000535,1,0
1557004369,1,0
1557006268,1,0
1557008228,0,1
1557010135,0,1
1557012027,1,1
1557013971,0,1
1557021765,1,0
1557023576,1,1
1557025504,0,1
1557027398,0,2
1557029327,1,1
1557031243,1,0
1557033174,2,1
1557038915,0,1
1557040829,0,1
1557042766,0,1
1557046582,0,1
1557048512,1,0
1557050550,1,1
1557052375,1,1
1557054288,0,1
1557056208,0,1
1557058143,0,1
1557061960,0,1
1557065810,1,1
1557067719,1,2
1557069667,1,1
1557071547,1,0
1557073478,0,1
1557079390,0,2
1557081382,1,0
1557083579,0,1
1557085460,1,1
1557087401,0,1
1557091230,0,2
1557093176,1,0
1557095060,1,0
1557096985,2,0
1557098898,0,1
1557100973,1,0
1557102993,1,0
1557106831,1,1
1557108991,1,0
1557110903,0,1
1557114762,0,1
1557116656,1,0
1557118586,0,2
1557120519,0,1
1557122564,1,0
1557124368,1,0
1557128180,1,0
1557130108,2,0
1557132039,1,0
1557133954,0,1
1557135861,0,1
1557137781,0,1
1557143549,1,0
1557147411,1,0
1557151378,0,1
1557153182,1,1
1557155100,1,0
1557157003,2,1
1557158922,1,1
1557164668,2,0
1557166596,3,0
1557168503,2,1
1557170423,0,1
1557172367,2,0
1557174259,1,0
1557180181,1,1
1557182170,0,2
1557184096,1,1
1557186138,0,1
1557188207,0,1
1557190418,1,0
1557192506,0,1
1557194746,0,1
1557198752,1,0
1557200662,1,0
1557202603,1,1
1557206426,1,0
1557208366,0,1
1557210279,1,1
1557216070,2,3
1557219872,0,1
1557221794,1,0
1557229706,0,1
1557233947,0,1
1557236037,1,0
1557237992,1,0
1557239858,0,1
1557241728,0,1
1557243627,1,3
1557247466,1,0
1557249390,1,0
1557251320,0,3
1557253226,0,2
1557255154,0,2
1557257074,1,0
1557258986,0,2
1557260903,0,1
1557266905,0,1
1557270746,0,1
1557272678,1,0
1557274843,1,0
1557276748,0,1
1557280585,1,0
1557282509,1,0
1557285411,0,1
1557287312,1,1
1557289224,0,1
1557293106,0,1
1557296899,1,1
1557298932,2,0
1557302747,0,2
1557306626,1,0
1557308446,2,1
1557310374,2,0
1557314184,1,0
1557316143,1,0
1557321862,1,0
1557323796,0,2
1557325651,1,0
1557327719,1,0
1557331551,0,1
1557333400,0,1
1557335339,0,1
1557337229,1,0
1557339124,1,0
1557343032,1,1
1557344949,1,0
1557350703,1,0
1557355568,1,0
1557359276,0,1
1557361339,1,1
1557367050,1,1
1557369194,1,1
1557371379,2,0
1557373275,0,1
1557379018,1,0
1557381174,1,0
1557383076,0,1
1557385012,0,1
1557386946,0,1
1557389024,1,0
1557392951,1,1
1557394845,0,2
1557397014,1,2
1557400858,0,1
1557402806,1,1
1557406615,1,0
1557408718,1,1
1557412600,0,2
1557414539,1,0
1557416451,3,0
1557422493,0,1
1557424364,2,0
1557426514,0,1
1557428550,0,1
1557430384,1,0
1557432329,0,1
1557436151,1,1
1557438060,1,0
1557439955,0,1
1557442401,2,0
1557448131,1,1
1557451956,1,0
1557454155,0,1
1557456036,1,1
1557458251,1,2
1557465872,0,1
1557467787,2,1
1557471790,1,0
1557473778,2,0
1557475735,0,1
1557479555,2,1
1557483421,1,1
1557485319,1,0
1557487252,1,0
1557489184,0,1
1557491095,2,0
1557493051,0,1
1557494926,0,1
1557500780,2,1
1557502868,2,3
1557506662,1,0
1557510570,0,2
1557512467,1,0
1557514348,1,0
1557516271,2,1
1557524019,1,2
1557525893,1,0
1557528391,0,1
1557530220,1,1
1557534058,0,1
1557535966,1,0
1557537914,1,1
1557539802,2,0
1557541718,0,1
1557543813,1,1
1557545780,1,0
1557553469,1,1
1557555381,1,1
1557557308,1,0
1557559228,1,1
1557561169,2,2
1557567038,0,2
1557570826,0,2
1557572733,0,1
1557576520,1,1
1557578467,0,1
1557580364,1,0
1557582272,1,0
1557586114,1,2
1557588032,3,1
1557590083,0,1
1557592105,0,1
1557594383,2,0
1557596220,1,0
1557598120,1,1
1557600281,0,1
1557602218,2,2
1557604153,1,0
1557606077,1,0
1557607956,3,0
1557609894,2,0
1557611794,1,2
1557613732,1,0
1557617798,2,1
1557621631,0,1
1557623811,1,1
1557625734,0,2
1557629554,0,1
1557631490,0,1
1557633409,1,0
1557639377,0,1
1557641306,3,1
1557643227,0,1
1557645143,0,1
1557647092,0,2
1557653067,3,0
1557656943,2,0
1557662723,0,1
1557666512,0,1
1557668451,0,1
1557674468,0,4
1557678300,1,0
1557680194,0,1
1557682125,2,2
1557684093,1,0
1557686008,0,1
1557687941,1,1
1557690077,0,1
1557692235,0,1
1557694131,0,4
1557696071,0,1
1557697947,0,2
1557699865,3,1
1557702979,1,1
1557704923,0,1
1557710682,1,1
1557712619,1,0
1557714768,1,0
1557716793,1,0
1557718616,1,0
1557720521,1,1
1557724386,1,0
1557726278,1,2
1557728213,0,1
1557730139,1,0
1557733957,1,0
1557737811,0,1
1557739744,0,2
1557743585,0,2
1557745540,1,0
1557753174,1,0
1557755093,3,0
1557757021,1,0
1557758877,1,0
1557762858,2,0
1557764687,0,1
1557766642,1,0
1557768552,1,2
1557770607,0,1
1557772611,1,0
1557774557,1,1
1557776426,1,0
1557782463,1,0
1557784345,1,0
1557786293,0,3
1557788213,0,1
1557793948,1,0
1557796137,2,1
1557798067,0,1
1557799986,2,1
1557804073,2,2
1557805947,1,1
1557807872,2,0
1557809797,1,0
1557811741,0,1
1557813735,1,1
1557815570,1,0
1557817567,1,1
1557819650,2,0
1557821551,0,1
1557825687,1,0
1557829470,1,0
1557831429,1,1
1557833309,1,0
1557835300,1,0
1557837171,1,0
1557839145,1,1
1557841001,0,2
1557842936,0,2
1557845093,2,1
1557848945,0,2
1557852806,0,1
1557854668,0,1
1557858533,1,1
1557860557,0,1
1557862396,0,1
1557864352,1,0
1557868154,2,1
1557870045,0,1
1557873906,1,0
1557875842,1,0
1557881606,0,3
1557887323,0,2
1557889401,1,1
1557891405,2,2
1557893597,1,1
1557895508,1,1
1557897439,0,1
1557899324,1,1
1557901282,0,1
1557903180,0,1
1557905117,1,2
1557906987,1,0
1557910958,2,0
1557912979,1,1
